city,province,industry_code,industry,year,pilot_zone,pilot_year,post_pilot,years_since_pilot,ai_exposure_ex_ante,robot_compatibility,smart_factory_count,smart_factory_excellence_count,industrial_ai_patents,machine_vision_patents,robotics_patents,predictive_maintenance_patents,digital_twin_patents,quality_inspection_patents,process_control_patents,industrial_ai_procurement_count,industrial_ai_procurement_value,aid_equal_index,procurement_layer_status,source_coverage_flags
Aksu,Xinjiang,textiles,textiles,2025,0,,0,,0.125,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Anqing,Anhui,automotive_and_nev,automotive_and_nev,2024,0,,0,,1.75,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0018049236517401757,pending,patents=0;smart_factories=1;procurement=pending
Anshan,Liaoning,industrial_machinery,industrial_machinery,2025,0,,0,,1.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Baise,Guangxi,non_metallic_minerals,non_metallic_minerals,2024,0,,0,,0.375,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Baotou,Inner Mongolia,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2025,0,,0,,1.25,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Baotou,Inner Mongolia,steel_and_metals,steel_and_metals,2024,0,,0,,1.25,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.16598679296645152,pending,patents=0;smart_factories=1;procurement=pending
Baotou,Inner Mongolia,steel_and_metals,steel_and_metals,2025,0,,0,,1.25,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.4394180918733864,pending,patents=0;smart_factories=1;procurement=pending
Beihai,Guangxi,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2024,0,,0,,1.25,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,automotive_and_nev,automotive_and_nev,2024,1,2019.0,1,5.0,1.75,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.2990916011169233,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,automotive_and_nev,automotive_and_nev,2025,1,2019.0,1,6.0,1.75,2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.2990916011169233,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2025,1,2019.0,1,6.0,1.25,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.12490650927052738,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,construction_machinery,construction_machinery,2024,1,2019.0,1,5.0,0.875,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.6356880776050173,pending,patents=1;smart_factories=1;procurement=pending
Beijing,Beijing,electrical_machinery,electrical_machinery,2025,1,2019.0,1,6.0,1.25,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.6151543042984458,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,electronics,electronics,2024,1,2019.0,1,5.0,1.625,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.6496025038251678,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,electronics,electronics,2025,1,2019.0,1,6.0,1.625,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.9230338027321028,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,industrial_machinery,industrial_machinery,2024,1,2019.0,1,5.0,1.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.5469760043472821,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,logistics_equipment,logistics_equipment,2021,1,2019.0,1,2.0,1.25,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.568291706484576,pending,patents=1;smart_factories=0;procurement=pending
Beijing,Beijing,logistics_equipment,logistics_equipment,2022,1,2019.0,1,3.0,1.25,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0.568291706484576,pending,patents=1;smart_factories=0;procurement=pending
Beijing,Beijing,precision_instruments,precision_instruments,2025,1,2019.0,1,6.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0596291115754278,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,robotics,robotics,2015,1,2019.0,0,-4.0,1.625,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0.17934884524201344,pending,patents=1;smart_factories=0;procurement=pending
Beijing,Beijing,semiconductors,semiconductors,2023,1,2019.0,1,4.0,1.875,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0814242038740043,pending,patents=1;smart_factories=0;procurement=pending
Beijing,Beijing,shipbuilding,shipbuilding,2016,1,2019.0,0,-3.0,1.125,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,-0.2373617805317172,pending,patents=1;smart_factories=0;procurement=pending
Beijing,Beijing,shipbuilding,shipbuilding,2025,1,2019.0,1,6.0,1.125,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.018484998151061943,pending,patents=0;smart_factories=1;procurement=pending
Beijing,Beijing,steel_and_metals,steel_and_metals,2018,1,2019.0,0,-1.0,1.25,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,-0.21284939078032128,pending,patents=1;smart_factories=0;procurement=pending
Beijing,Beijing,steel_and_metals,steel_and_metals,2024,1,2019.0,1,5.0,1.25,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.09659910787755172,pending,patents=0;smart_factories=1;procurement=pending
Bengbu,Anhui,automotive_and_nev,automotive_and_nev,2015,0,,0,,1.75,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.22837362474480527,pending,patents=1;smart_factories=0;procurement=pending
Bengbu,Anhui,batteries,batteries,2024,0,,0,,1.875,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,,0.2773984042475971,pending,patents=1;smart_factories=0;procurement=pending
Bengbu,Anhui,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2020,0,,0,,1.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,-0.45797328829428047,pending,patents=1;smart_factories=0;procurement=pending
Bengbu,Anhui,electrical_machinery,electrical_machinery,2021,0,,0,,1.25,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.03227450673363792,pending,patents=1;smart_factories=0;procurement=pending
Bengbu,Anhui,electrical_machinery,electrical_machinery,2023,0,,0,,1.25,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,0.03227450673363792,pending,patents=1;smart_factories=0;procurement=pending
Bengbu,Anhui,electronics,electronics,2025,0,,0,,1.625,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.04721985585105165,pending,patents=0;smart_factories=1;procurement=pending
Bengbu,Anhui,pharmaceuticals,pharmaceuticals,2017,0,,0,,1.625,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,-0.1393122215261335,pending,patents=1;smart_factories=0;procurement=pending
Bengbu,Anhui,precision_instruments,precision_instruments,2018,0,,0,,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,-0.2618741702831131,pending,patents=1;smart_factories=0;procurement=pending
Benxi,Liaoning,automotive_and_nev,automotive_and_nev,2025,0,,0,,1.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0018049236517401757,pending,patents=0;smart_factories=1;procurement=pending
Benxi,Liaoning,mining,mining,2025,0,,0,,0.5,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Binzhou,Shandong,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2025,0,,0,,1.25,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Binzhou,Shandong,industrial_machinery,industrial_machinery,2024,0,,0,,1.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Binzhou,Shandong,steel_and_metals,steel_and_metals,2024,0,,0,,1.25,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.4394180918733864,pending,patents=0;smart_factories=1;procurement=pending
Binzhou,Shandong,steel_and_metals,steel_and_metals,2025,0,,0,,1.25,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.4394180918733864,pending,patents=0;smart_factories=1;procurement=pending
Binzhou,Shandong,textiles,textiles,2024,0,,0,,0.125,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Binzhou,Shandong,textiles,textiles,2025,0,,0,,0.125,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Cangzhou,Hebei,industrial_machinery,industrial_machinery,2025,0,,0,,1.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Changchun,Jilin,automotive_and_nev,automotive_and_nev,2024,0,,0,,1.75,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.275236222558675,pending,patents=0;smart_factories=1;procurement=pending
Changchun,Jilin,automotive_and_nev,automotive_and_nev,2025,0,,0,,1.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0018049236517401757,pending,patents=0;smart_factories=1;procurement=pending
Changchun,Jilin,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2021,0,,0,,1.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,-0.45797328829428047,pending,patents=1;smart_factories=0;procurement=pending
Changchun,Jilin,construction_machinery,construction_machinery,2020,0,,0,,0.875,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.286386560034509,pending,patents=1;smart_factories=0;procurement=pending
Changchun,Jilin,industrial_machinery,industrial_machinery,2024,0,,0,,1.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Changchun,Jilin,logistics_equipment,logistics_equipment,2017,0,,0,,1.25,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.03227450673363792,pending,patents=1;smart_factories=0;procurement=pending
Changchun,Jilin,logistics_equipment,logistics_equipment,2018,0,,0,,1.25,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0.03227450673363792,pending,patents=1;smart_factories=0;procurement=pending
Changchun,Jilin,robotics,robotics,2022,0,,0,,1.625,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0.17934884524201344,pending,patents=1;smart_factories=0;procurement=pending
Changchun,Jilin,semiconductors,semiconductors,2019,0,,0,,1.875,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.2773984042475971,pending,patents=1;smart_factories=0;procurement=pending
Changchun,Jilin,shipbuilding,shipbuilding,2023,0,,0,,1.125,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,-0.2373617805317172,pending,patents=1;smart_factories=0;procurement=pending
Changde,Hunan,industrial_machinery,industrial_machinery,2024,0,,0,,1.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Changji,Xinjiang,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2025,0,,0,,1.25,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Changji,Xinjiang,electrical_machinery,electrical_machinery,2024,0,,0,,1.25,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.19429419435942719,pending,patents=0;smart_factories=1;procurement=pending
Changsha,Hunan,automotive_and_nev,automotive_and_nev,2022,1,2021.0,1,1.0,1.75,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.9787977043961185,pending,patents=1;smart_factories=0;procurement=pending
Changsha,Hunan,automotive_and_nev,automotive_and_nev,2024,1,2021.0,1,3.0,1.75,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.7522290033030534,pending,patents=0;smart_factories=1;procurement=pending
Changsha,Hunan,automotive_and_nev,automotive_and_nev,2025,1,2021.0,1,4.0,1.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.7522290033030534,pending,patents=0;smart_factories=1;procurement=pending
Changsha,Hunan,batteries,batteries,2020,1,2021.0,0,-1.0,1.875,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,,0.2773984042475971,pending,patents=1;smart_factories=0;procurement=pending
Changsha,Hunan,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2016,1,2021.0,0,-5.0,1.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,-0.45797328829428047,pending,patents=1;smart_factories=0;procurement=pending
Changsha,Hunan,electrical_machinery,electrical_machinery,2017,1,2021.0,0,-4.0,1.25,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.03227450673363792,pending,patents=1;smart_factories=0;procurement=pending
Changsha,Hunan,electrical_machinery,electrical_machinery,2019,1,2021.0,0,-2.0,1.25,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,0.03227450673363792,pending,patents=1;smart_factories=0;procurement=pending
Changsha,Hunan,electronics,electronics,2024,1,2021.0,1,3.0,1.625,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.6496025038251678,pending,patents=0;smart_factories=1;procurement=pending
Changsha,Hunan,electronics,electronics,2025,1,2021.0,1,4.0,1.625,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.6496025038251678,pending,patents=0;smart_factories=1;procurement=pending
Changsha,Hunan,food_processing,food_processing,2025,1,2021.0,1,4.0,0.5,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.47013510948697035,pending,patents=0;smart_factories=1;procurement=pending
Changsha,Hunan,industrial_machinery,industrial_machinery,2024,1,2021.0,1,3.0,1.5,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.3672699010680869,pending,patents=0;smart_factories=1;procurement=pending
Changsha,Hunan,industrial_machinery,industrial_machinery,2025,1,2021.0,1,4.0,1.5,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.8204073032542171,pending,patents=0;smart_factories=1;procurement=pending
Changsha,Hunan,pharmaceuticals,pharmaceuticals,2024,1,2021.0,1,3.0,1.625,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0.557510138150086,pending,patents=1;smart_factories=0;procurement=pending
Changshu,Jiangsu,textiles,textiles,2024,0,,0,,0.125,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Changyuan,Henan,industrial_machinery,industrial_machinery,2024,0,,0,,1.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Changyuan,Henan,mining,mining,2025,0,,0,,0.5,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.6845419893873456,pending,patents=0;smart_factories=1;procurement=pending
Changzhou,Jiangsu,batteries,batteries,2025,0,,0,,1.875,2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.5976923009684018,pending,patents=0;smart_factories=1;procurement=pending
Changzhou,Jiangsu,electrical_machinery,electrical_machinery,2025,0,,0,,1.25,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.19429419435942719,pending,patents=0;smart_factories=1;procurement=pending
Changzhou,Jiangsu,industrial_machinery,industrial_machinery,2024,0,,0,,1.5,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.17718666355309134,pending,patents=0;smart_factories=1;procurement=pending
Changzhou,Jiangsu,industrial_machinery,industrial_machinery,2025,0,,0,,1.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Chengde,Hebei,industrial_machinery,industrial_machinery,2024,0,,0,,1.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,-0.0962446353538435,pending,patents=0;smart_factories=1;procurement=pending
Chengdu,Sichuan,automotive_and_nev,automotive_and_nev,2019,1,2020.0,0,-1.0,1.75,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.22837362474480527,pending,patents=1;smart_factories=0;procurement=pending
Chengdu,Sichuan,batteries,batteries,2017,1,2020.0,0,-3.0,1.875,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,,0.2773984042475971,pending,patents=1;smart_factories=0;procurement=pending
Chengdu,Sichuan,batteries,batteries,2024,1,2020.0,1,4.0,1.875,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.854855502780939,pending,patents=0;smart_factories=1;procurement=pending
Chengdu,Sichuan,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2024,1,2020.0,1,4.0,1.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,0.07804391145665762,pending,patents=1;smart_factories=0;procurement=pending
Chengdu,Sichuan,chemicals_and_petrochemicals,chemicals_and_petrochemicals,2025,1,2020.0,1,5.0,1.25,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.12490650927052738,pending,patents=0;smart_factories=1;procurement=pending
Chengdu,Sichuan,electrical_machinery,electrical_machinery,2016,1,2020.0,0,-4.0,1.25,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,0.03227450673363792,pending,patents=1;smart_factories=0;procurement=pending
Chengdu,Sichuan,electrical_machinery,electrical_machinery,2024,1,2020.0,1,4.0,1.25,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.3417230053915109,pending,patents=0;smart_factories=1;procurement=pending
Chengdu,Sichuan,electronics,electronics,2024,1,2020.0,1,4.0,1.625,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.6496025038251678,pending,patents=0;smart_factories=1;procurement=pending
