city,province,year,gdp,gdp_per_capita,secondary_value_added,industrial_output,population,employment,average_wage,fdi,fixed_asset_investment,education_proxy,telecom_or_internet_proxy,foreign_trade,source_name,source_file
Baotou,Inner Mongolia,2021,2787.0,10.284132841328413,134.0,,271.0,343115.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Baotou,Inner Mongolia,2022,3293.0,14.700892857142858,1.23,,224.0,334319.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Baotou,Inner Mongolia,2024,4264.0,15.44927536231884,1.09,,276.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Changchun,Jilin,2021,6638.0,7.318632855567806,1.67,,907.0,1102433.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Changchun,Jilin,2022,7103.0,8.336854460093896,1.49,,852.0,1087530.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Changchun,Jilin,2024,7002.0,7.694505494505495,1.5,,910.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Changsha,Hunan,2021,12143.0,12.070576540755468,0.98,,1006.0,1425867.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Changsha,Hunan,2022,13271.0,17.46184210526316,0.88,,760.0,1550531.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Changsha,Hunan,2024,14332.0,13.636536631779258,0.87,,1051.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Changzhou,Jiangsu,2021,7805.0,14.782196969696969,1.64,,528.0,671577.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Changzhou,Jiangsu,2022,8808.0,22.701030927835053,1.46,,388.0,649700.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Changzhou,Jiangsu,2024,10116.0,18.802973977695167,1.39,,538.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Chengdu,Sichuan,2021,17717.0,8.456801909307876,1.45,,2095.0,11433200.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Chengdu,Sichuan,2022,19917.0,12.80012853470437,1.05,,1556.0,113853.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Chengdu,Sichuan,2024,22075.0,10.315420560747663,0.92,,2140.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Dalian,Liaoning,2021,7030.0,9.436241610738255,3.21,,745.0,1047641.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Dalian,Liaoning,2022,7826.0,12.956953642384105,3.26,,604.0,1003099.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Dalian,Liaoning,2024,8753.0,11.608753315649867,3.41,,754.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Dezhou,Shandong,2021,3079.0,5.4884135472370765,4.55,,561.0,407407.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Dezhou,Shandong,2022,3489.0,5.854026845637584,4.4,,596.0,419368.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Dezhou,Shandong,2024,3805.0,6.868231046931408,3.97,,554.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Dongguan,Guangdong,2021,9650.0,9.208015267175572,53.81,,1048.0,2863056.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Dongguan,Guangdong,2022,10855.0,38.90681003584229,58.21,,279.0,2872925.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Dongguan,Guangdong,2024,11438.0,10.90371782650143,56.64,,1049.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Foshan,Guangdong,2021,10816.0,11.361344537815127,56.35,,952.0,1513137.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Foshan,Guangdong,2022,12157.0,25.117768595041323,1.74,,484.0,1545536.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Foshan,Guangdong,2024,13276.0,13.8004158004158,1.72,,962.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Fuzhou,Fujian,2021,10020.0,12.04326923076923,1.25,,832.0,1561135.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Fuzhou,Fujian,2022,11324.0,15.662517289073305,1.37,,723.0,1456316.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Fuzhou,Fujian,2024,12928.0,15.263282172373081,1.38,,847.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Guangzhou,Guangdong,2021,25019.0,13.350586979722518,1.15,,1874.0,4193638.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Guangzhou,Guangdong,2022,28232.0,27.897233201581027,1.08,,1012.0,4269383.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Guangzhou,Guangdong,2024,30356.0,16.121083377588953,1.05,,1883.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Hangzhou,Zhejiang,2021,16106.0,13.45530492898914,1.49,,1197.0,2923541.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Hangzhou,Zhejiang,2022,18109.0,21.687425149700598,1.35,,835.0,2946440.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Hangzhou,Zhejiang,2024,20059.0,16.021565495207668,1.24,,1252.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Harbin,Heilongjiang,2021,5184.0,5.178821178821178,5.34,,1001.0,1070519.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Harbin,Heilongjiang,2022,5352.0,5.6755037115588545,5.1,,943.0,970962.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Harbin,Heilongjiang,2024,5576.0,5.701431492842536,4.72,,978.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Hefei,Anhui,2021,10046.0,10.72145144076841,0.19,,937.0,1729908.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Hefei,Anhui,2022,11413.0,14.3921815889029,0.14,,793.0,1662716.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Hefei,Anhui,2024,12674.0,12.867005076142132,0.11,,985.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Jinan,Shandong,2021,10141.0,10.975108225108226,2.88,,924.0,1549779.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Jinan,Shandong,2022,11432.0,13.99265605875153,2.86,,817.0,1587351.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Jinan,Shandong,2024,12757.0,13.513771186440678,2.68,,944.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Jinhua,Zhejiang,2021,4704.0,6.662889518413598,4.05,,706.0,708321.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Jinhua,Zhejiang,2022,5355.0,10.818181818181818,3.15,,495.0,711714.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Jinhua,Zhejiang,2024,6011.0,8.395251396648044,2.77,,716.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Lianyungang,Jiangsu,2021,3277.0,7.123913043478261,7.92,,460.0,434743.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Lianyungang,Jiangsu,2022,3728.0,6.99437148217636,6.94,,533.0,435949.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
