year,page_url,attachment_url,name,local_path,status
2024,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6329&page=ContentPage&contentid=106806,https://www.chinautc.com/upload/fckeditor/2-1_人口数.xlsx,2-1_人口数.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2024\2024_2-1_人口数.xlsx,downloaded
2024,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6329&page=ContentPage&contentid=106807,https://www.chinautc.com/upload/fckeditor/2-6_地区生产总值.xlsx,2-6_地区生产总值.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2024\2024_2-6_地区生产总值.xlsx,downloaded
2024,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6329&page=ContentPage&contentid=106808,https://www.chinautc.com/upload/fckeditor/2-7_地区生产总值构成(1).xlsx,2-7_地区生产总值构成(1).xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2024\2024_2-7_地区生产总值构成(1).xlsx,downloaded
2024,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6330&page=ContentPage&contentid=106833,https://www.chinautc.com/upload/fckeditor/3-1_人口状况.xlsx,3-1_人口状况.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2024\2024_3-1_人口状况.xlsx,downloaded
2024,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6330&page=ContentPage&contentid=106835,https://www.chinautc.com/upload/fckeditor/3-3_地区生产总值.xlsx,3-3_地区生产总值.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2024\2024_3-3_地区生产总值.xlsx,downloaded
2024,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6341&page=ContentPage&contentid=106836,https://www.chinautc.com/upload/fckeditor/中国城市统计年鉴2024【excel】.rar,中国城市统计年鉴2024【excel】.rar,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2024\2024_中国城市统计年鉴2024【excel】.rar,downloaded
2023,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6278&page=ContentPage&contentid=106253,https://www.chinautc.com/upload/fckeditor/2-1 人口数.xlsx,2-1 人口数.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2023\2023_2-1 人口数.xlsx,downloaded
2023,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6278&page=ContentPage&contentid=106256,https://www.chinautc.com/upload/fckeditor/2-7 地区生产总值.xlsx,2-7 地区生产总值.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2023\2023_2-7 地区生产总值.xlsx,downloaded
2023,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6278&page=ContentPage&contentid=106257,https://www.chinautc.com/upload/fckeditor/2-8 地区生产总值构成.xlsx,2-8 地区生产总值构成.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2023\2023_2-8 地区生产总值构成.xlsx,downloaded
2023,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6278&page=ContentPage&contentid=106258,https://www.chinautc.com/upload/fckeditor/2-18 劳动力就业及收入状况（全市）.xlsx,2-18 劳动力就业及收入状况（全市）.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2023\2023_2-18 劳动力就业及收入状况（全市）.xlsx,downloaded
2023,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6279&page=ContentPage&contentid=106261,https://www.chinautc.com/upload/fckeditor/3-1 人口状况.xlsx,3-1 人口状况.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2023\2023_3-1 人口状况.xlsx,downloaded
2023,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6279&page=ContentPage&contentid=106263,https://www.chinautc.com/upload/fckeditor/3-3 地区生产总值.xlsx,3-3 地区生产总值.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2023\2023_3-3 地区生产总值.xlsx,downloaded
2022,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6204&page=ContentPage&contentid=105298,https://www.chinautc.com/upload/fckeditor/2022-2-1 人口数.xlsx,2022-2-1 人口数.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2022\2022_2022-2-1 人口数.xlsx,downloaded
2022,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6204&page=ContentPage&contentid=105301,https://www.chinautc.com/upload/fckeditor/2022-2-7 地区生产总值.xlsx,2022-2-7 地区生产总值.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2022\2022_2022-2-7 地区生产总值.xlsx,downloaded
2022,https://www.chinautc.com/templates/H_nianjian/index.aspx?nodeid=6204&page=ContentPage&contentid=105302,https://www.chinautc.com/upload/fckeditor/2022-2-8 地区生产总值构成.xlsx,2022-2-8 地区生产总值构成.xlsx,C:\Users\mateo\ai_diffusion_state\data\raw\city_controls\chinautc_downloads\2022\2022_2022-2-8 地区生产总值构成.xlsx,downloaded
