year,table_code,filename,relative_path,size_bytes,hints,preview
2021,2-1,2021_2021-2-1.xlsx,2021\2021_2021-2-1.xlsx,27223,population,中国2020年地级以上城市数据 | 2-1 人口数 | 城 市 | City | 常住人口                                 Urban Resident Population | 城镇常住人口                 Urban Resident Population | 全市                                  Total City | 市辖区 Districts under City | 全市                          Total City | 市辖区 Districts under City | 北京市 | Beijing | 2189 | 2189 | 1916 | 1916 | 天津市 | Tianjin | 1387 | 1387 | 1174 | 1174 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 1124 | 576 | 789 | 516 | 唐山市 | Tangshan | 772 | 379 | 496 | 292 | 秦皇岛市 | Qinhuangdao | 314 | 189 | 201 | 152 | 邯郸市 | Handan | 941 | 373 | 549 | 261
2021,2-18,2021_2021-2-18.xlsx,2021\2021_2021-2-18.xlsx,28543,employment_wage,中国2020年地级以上城市数据 | 2-18 劳动力就业及收入状况（全市） | 城 市 | City | 城镇非私营单位从业人员期末人数（人） | 城镇非私营单位在岗职工平均人数（万人） | 城镇非私营单位在岗职工工资总额（万元） | 城镇非私营单位在岗职工平均工资（元） | 全市               Total City | 全市               Total City | 全市               Total City | 全市               Total City | 北京市 | Beijing | 7399399 | 687 | 126927616 | 185026 | 天津市 | Tianjin | 2553324 | 236 | 28010941 | 118918 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 1050390 | 97 | 8234817 | 84870 | 唐山市 | Tangshan | 771803 | 73 | 6049243 | 82483 | 秦皇岛市 | Qinhuangdao | 279983 | 26 | 2231259 | 85609
2021,2-7,2021_2021-2-7.xlsx,2021\2021_2021-2-7.xlsx,31740,gdp,中国2020年地级以上城市数据 | 2-7 地区生产总值 | 城 市 | City | 地区生产总值（当年价格） （亿元）                               Gross Regional Product （Current Prices） （100 000 000 yuan） | 人均地区生产总值 (元) | 地区生产总值增长率 (%) | Gross Regional Product （Current Prices） （100 000 000 yuan） | Per Capita GRP (yuan) | GRP Growth Rate (%) | 全市                         Total City | 市辖区                Districts under City | 全市                Total City | 市辖区            Districts under City | 全市               Total City | 市辖区              Districts under City | 北京市 | Beijing | 36103 | 36103 | 164889 | 164889 | 1.2 | 1.2 | 天津市 | Tianjin | 14084 | 14084 | 101614 | 101614 | 1.5 | 1.5 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 5935 | 3581 | 52961 | 62195 | 3.85 | 3.1 | 唐山市 | Tangshan | 7211 | 4068 | 93470 | 108037 | 4.4 | 5.04 | 秦皇岛市 | Qinhuangdao | 1686 | 1137 | 53821 | 60732 | 4.15 | 4.32
2021,2-8,2021_2021-2-8.xlsx,2021\2021_2021-2-8.xlsx,31959,gdp|gdp_composition,中国2020年地级以上城市数据 | 2-8 地区生产总值构成 | 城 市 | City | 第一产业占地区                  生产总值的比重（%）                   Primary Industry as Percentage to GRP | 第二产业占地区                     生产总值的比重 （%） Secondary Industry as Percentage to GRP | 第三产业占地区                 生产总值的比重 （%） Tertiary Industry as Percentage to GRP | Primary Industry as Percentage to GRP | Secondary Industry as Percentage to GRP | Tertiary Industry as Percentage to GRP | 全市                         Total City | 市辖区                Districts under City | 全市                Total City | 市辖区            Districts under City | 全市               Total City | 市辖区              Districts under City | 北京市 | Beijing | 0.3 | 0.3 | 15.83 | 15.83 | 83.87 | 83.87 | 天津市 | Tianjin | 1.49 | 1.49 | 34.11 | 34.11 | 64.39 | 64.39 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 8.41 | 2.43 | 29.4 | 24.85 | 62.19 | 72.72 | 唐山市 | Tangshan | 8.22 | 4.33 | 53.21 | 52.9 | 38.57 | 42.77 | 秦皇岛市 | Qinhuangdao | 13.82 | 6.51 | 32.68 | 32.81 | 53.5 | 60.69
2021,3-1,2021_2021-3-1.xlsx,2021\2021_2021-3-1.xlsx,24843,population,中国2020年县级市数据 | 3-1 人口状况（人） | 城 市 | City | 年末户籍人口 | Household Registered Population at Year-end | 河北省 | Hebei | 辛集市 | Xinji | 629495 | 晋州市 | Jinzhou | 574609 | 新乐市 | Xinle | 516612 | 遵化市 | Zunhua | 750149 | 迁安市 | Qian'an | 775247 | 滦州市 | Luanzhou | 568364 | 武安市 | Wu'an | 846935
2021,3-3,2021_2021-3-3.xlsx,2021\2021_2021-3-3.xlsx,34744,gdp|gdp_composition,中国2020年县级市数据 | 3-3 地区生产总值                                      （万元） | 城 市 | City | 地区生产总值 Gross Regional Product | 第一产业增加值                    Value-added of the Primary Industry | 第二产业增加值                    Value-added of the Secondary Industry | 第三产业增加值 Value-added of the Tertiary Industry | 河北省 | Hebei | 辛集市 | Xinji | 4263981 | 578250 | 2661586 | 1024145 | 晋州市 | Jinzhou | 1625535 | 413722 | 370328 | 841485 | 新乐市 | Xinle | 1489395 | 369459 | 370330 | 749606 | 遵化市 | Zunhua | 4502431 | 559351 | 1918260 | 2024820 | 迁安市 | Qian'an | 10069082 | 340483 | 6559078 | 3169521 | 滦州市 | Luanzhou | 4161327 | 517666 | 2421712 | 1221949 | 武安市 | Wu'an | 6678110 | 346707 | 4068941 | 2262462
2022,2-20,2022_2022-2-1 人口数.xlsx,2022\2022_2022-2-1 人口数.xlsx,30029,population,2-1人口数 | Household Resident Population | 单位：万人                                                                                          (10 000 persons) | 城 市 | City | 户籍人口 Household Resident Population | 城镇户籍人口 Urban Household Resident Population | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 北京市 | Beijing | 1414 | 1414 | 1201 | 1201 | 天津市 | Tianjin | 1152 | 1152 | 833 | 833 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 1051 | 430 | 548 | 341 | 唐山市 | Tangshan | 751 | 333 | 377 | 213 | 秦皇岛市 | Qinhuangdao | 300 | 148 | 150 | 105
2022,2-20,2022_2022-2-18 劳动力就业及收入状况（全市）.xlsx,2022\2022_2022-2-18 劳动力就业及收入状况（全市）.xlsx,31648,employment_wage,2-18劳动力就业及收入状况（全市） Employment and Income of Labour Force （Total City） | 城 市 | City | 城镇非私营单位从业人员期末人数 （人） Persons Employed in Urban Non-Private Units at Year-end （persons） | 城镇非私营单位在岗职工平均人数 （万人） Average Number of Employed Staff and Workers in Urban Non-Private Units （10 000 persons） | 城镇非私营单位在岗职工工资总额 （万元） Total Wage Bill of Employed Staff and Workers in Urban Non-Private Units （10 000 yuan） | 城镇非私营单位在岗职工平均工资 （元） Average Wage of Employed Staff and Workers in Urban Non-Private Units （yuan） | 北京市 | Beijing | 7595091 | 709 | 142832359 | 201504 | 天津市 | Tianjin | 2564448 | 239 | 30595125 | 128171 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 1076295 | 101 | 8963139 | 89065 | 唐山市 | Tangshan | 772233 | 72 | 6483547 | 90049 | 秦皇岛市 | Qinhuangdao | 277644 | 27 | 2385882 | 89852 | 邯郸市 | Handan | 517234 | 49 | 3733252 | 76316 | 邢台市 | Xingtai | 409002 | 38 | 2830074 | 73967 | 保定市 | Baoding | 760730 | 70 | 5726743 | 81454
2022,2-20,2022_2022-2-7 地区生产总值.xlsx,2022\2022_2022-2-7 地区生产总值.xlsx,35396,gdp,2-7地区生产总值 Gross Regional Product | 城 市 | City | 地区生产总值（当年价格）（亿元） Gross Regional Product （Current Prices） （100 000 000 yuan） | 人均地区生产总值 (元) Per Capita GRP (yuan) | 地区生产总值增长率 (%) GRP Growth Rate (%) | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 北京市 | Beijing | 40270 | 40270 | 183980 | 183980 | 8.5 | 8.5 | 天津市 | Tianjin | 15695 | 15695 | 113732 | 113732 | 6.6 | 6.6 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 6490 | 3943 | 57830 | 68490 | 6.58 | 6.79 | 唐山市 | Tangshan | 8231 | 4612 | 106784 | 113400 | 6.7 | 5.9 | 秦皇岛市 | Qinhuangdao | 1844 | 1242 | 58774 | 65923 | 6.8 | 5.5 | 邯郸市 | Handan | 4115 | 1714 | 43817 | 46120
2022,2-20,2022_2022-2-8 地区生产总值构成.xlsx,2022\2022_2022-2-8 地区生产总值构成.xlsx,35621,gdp|gdp_composition,2-8地区生产总值构成 Composition of Gross Regional Product | 单位：％ | (%) | 城 市 | City | 第一产业占地区生产总值的比重 Primary Industry as Percentage to GRP | 第二产业占地区生产总值的比重 Secondary Industry as Percentage to GRP | 第三产业占地区生产总值的比重 Tertiary Industry as Percentage to GRP | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 北京市 | Beijing | 0.28 | 0.28 | 18.05 | 18.05 | 81.67 | 81.67 | 天津市 | Tianjin | 1.43 | 1.43 | 37.3 | 37.3 | 61.26 | 61.26 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 7.78 | 2.26 | 32.47 | 27.82 | 59.75 | 69.95 | 唐山市 | Tangshan | 7.37 | 3.97 | 55.24 | 54.55 | 37.38 | 41.48 | 秦皇岛市 | Qinhuangdao | 13.02 | 6.04 | 35.63 | 35.91 | 51.36 | 58.05 | 邯郸市 | Handan | 9.53 | 6.36
