column,missing_share
city,0.0
province,0.0
industry_code,0.0
industry,0.0
year,0.0
pilot_zone,0.0
pilot_year,0.7099737532808399
post_pilot,0.0
years_since_pilot,0.7099737532808399
ai_exposure_ex_ante,0.0
robot_compatibility,0.0
smart_factory_count,0.0
smart_factory_excellence_count,0.0
industrial_ai_patents,0.0
machine_vision_patents,0.0
robotics_patents,0.0
predictive_maintenance_patents,0.0
digital_twin_patents,0.0
quality_inspection_patents,0.0
process_control_patents,0.0
industrial_ai_procurement_count,0.0
industrial_ai_procurement_value,1.0
aid_equal_index,0.0
procurement_layer_status,0.0
source_coverage_flags,0.0
