industry_code,atlas_industry_code,industry_mapping_confidence,n_projects,n_cities,share_of_509
C34,industrial_machinery,low,196,88,0.3850687622789784
C26,chemicals_and_petrochemicals,high,53,39,0.10412573673870335
C39,electronics,high,47,30,0.09233791748526522
C33,steel_and_metals,high,45,36,0.08840864440078586
C36,automotive_and_nev,high,37,21,0.07269155206286837
C38,electrical_machinery,high,37,24,0.07269155206286837
C37,shipbuilding,high,19,14,0.03732809430255403
C39_battery,batteries,high,14,11,0.0275049115913556
C30,non_metallic_minerals,high,11,11,0.021611001964636542
C17,textiles,high,9,8,0.01768172888015717
C35,construction_machinery,high,9,6,0.01768172888015717
C14,food_processing,high,7,7,0.0137524557956778
C13,mining,high,6,5,0.011787819253438114
C27,pharmaceuticals,high,6,6,0.011787819253438114
C40,precision_instruments,high,5,5,0.009823182711198428
C39_semi,semiconductors,high,4,4,0.007858546168958742
C22,paper,high,2,2,0.003929273084479371
C31,furniture_wood,high,1,1,0.0019646365422396855
C39_ai_server,ai_servers_and_computing_equipment,high,1,1,0.0019646365422396855
