city,province,industry_code,industry,year,smart_factory_count,external_verified_count,industry_mapping_confidence
Chongqing,Chongqing,industrial_machinery,industrial_machinery,2025,8,0,high
Shanghai,Shanghai,industrial_machinery,industrial_machinery,2025,7,0,high
Qingdao,Shandong,industrial_machinery,industrial_machinery,2025,7,0,high
Nantong,Jiangsu,industrial_machinery,industrial_machinery,2025,6,0,high
Hangzhou,Zhejiang,industrial_machinery,industrial_machinery,2024,6,3,high
Ningbo,Zhejiang,industrial_machinery,industrial_machinery,2025,5,0,high
Hangzhou,Zhejiang,industrial_machinery,industrial_machinery,2025,5,5,high
Wuhan,Hubei,industrial_machinery,industrial_machinery,2025,4,2,high
Changsha,Hunan,industrial_machinery,industrial_machinery,2024,4,4,high
Qingdao,Shandong,industrial_machinery,industrial_machinery,2024,4,0,high
Chongqing,Chongqing,industrial_machinery,industrial_machinery,2024,3,0,high
Chengdu,Sichuan,industrial_machinery,industrial_machinery,2025,3,1,high
Shanghai,Shanghai,electrical_machinery,electrical_machinery,2025,3,0,high
Chongqing,Chongqing,automotive_and_nev,automotive_and_nev,2025,3,0,high
Beijing,Beijing,automotive_and_nev,automotive_and_nev,2024,3,0,high
Guangzhou,Guangdong,industrial_machinery,industrial_machinery,2024,3,0,high
Hefei,Anhui,industrial_machinery,industrial_machinery,2025,3,0,high
Nanjing,Jiangsu,industrial_machinery,industrial_machinery,2025,3,0,high
Beijing,Beijing,automotive_and_nev,automotive_and_nev,2025,3,1,high
Xiamen,Fujian,electronics,electronics,2024,3,0,high
Shanghai,Shanghai,automotive_and_nev,automotive_and_nev,2025,3,0,high
Suzhou,Jiangsu,industrial_machinery,industrial_machinery,2025,3,0,high
Changzhou,Jiangsu,batteries,batteries,2025,3,0,high
Tianjin,Tianjin,electrical_machinery,electrical_machinery,2025,3,0,high
Tianjin,Tianjin,industrial_machinery,industrial_machinery,2024,3,0,high
Wuhan,Hubei,electronics,electronics,2024,3,3,high
Xi'an,Shaanxi,industrial_machinery,industrial_machinery,2025,2,0,high
Xi'an,Shaanxi,shipbuilding,shipbuilding,2024,2,2,high
Xiamen,Fujian,batteries,batteries,2025,2,0,high
Xiamen,Fujian,electronics,electronics,2025,2,0,high
