metric,value
generated_at_utc,2026-05-29T22:22:15.842307+00:00
tiered_extension_ready,True
geography_city_fill_rate,0.6536
geography_fill_threshold_80pct,0.8
tiered_robustness_ready,True
ready_for_evidence_chain,False
exact_geography_ready,False
panel_patent_count,2606525
panel_cities,83
panel_industries,16
panel_year_min,2015
panel_year_max,2022
panel_validation_ok,True
geography_validation_ok,True
publication_f1_blocked,true
blockers,none
p14_path,outputs\tables\table_P14_tiered_geography_coverage_by_confidence.csv
p17_tiers_path,outputs\tables\table_P17_tiered_geography_tier_breakdown.csv
