exclusion_rule,spec,n_cities,n_projects,model,term,coef,std_err,p_value,formula,interpretation,coefficient_relative_to_full_sample,projects_remaining_share
full_sample,baseline,160,507,baseline_count,pilot_zone,4.545660222130811,0.8773180300922075,2.2032818563888285e-07,smart_factory_projects ~ pilot_zone + C(year),baseline association (all resolved cities),1.0,1.0
drop_beijing_shanghai_shenzhen_hangzhou,baseline,156,439,baseline_count,pilot_zone,3.6678321678321613,0.7681155467844699,1.7961376956628733e-06,smart_factory_projects ~ pilot_zone + C(year),association weakens after dropping four mega-hubs,0.8068865662187216,0.8658777120315582
drop_beijing_shanghai_shenzhen_hangzhou_guangzhou,baseline,155,431,baseline_count,pilot_zone,3.731934731934727,0.8284250268966143,6.641823778258484e-06,smart_factory_projects ~ pilot_zone + C(year),association weakens after dropping five mega-hubs,0.8209884922250865,0.8500986193293886
drop_direct_admin_municipalities,baseline,156,419,baseline_count,pilot_zone,2.898601398601394,0.5142836343365131,1.7385136030294607e-08,smart_factory_projects ~ pilot_zone + C(year),association weakens substantially when direct-admin municipalities excluded,0.6376634541423454,0.8264299802761341
drop_top_5_smart_factory_cities,baseline,155,402,baseline_count,pilot_zone,2.950704225352113,0.5117402015880358,8.11654427697806e-09,smart_factory_projects ~ pilot_zone + C(year),association weakens when top adoption cities excluded,0.6491255573802982,0.7928994082840237
drop_top_10_gdp_cities,baseline,150,381,baseline_count,pilot_zone,3.612887112887112,1.3824455537868043,0.008964557312892793,smart_factory_projects ~ pilot_zone + C(year),association under top-GDP-city exclusion (requires GDP controls),0.7947992010704101,0.7514792899408284
full_sample,controlled,159,233,controlled_count,pilot_zone,3.4419422070634527,1.1393561398558307,0.002519798430823453,smart_factory_projects ~ pilot_zone + C(year) + log_gdp + log_population + secondary_industry_share + log_fdi + log_fixed_asset_investment + telecom_or_internet_proxy,baseline association (all resolved cities),1.0,1.0
drop_beijing_shanghai_shenzhen_hangzhou,controlled,155,203,controlled_count,pilot_zone,3.672175131829571,1.1560052196912138,0.00149008428266643,smart_factory_projects ~ pilot_zone + C(year) + log_gdp + log_population + secondary_industry_share + log_fdi + log_fixed_asset_investment + telecom_or_internet_proxy,association weakens after dropping four mega-hubs,1.0668904098080558,0.871244635193133
drop_beijing_shanghai_shenzhen_hangzhou_guangzhou,controlled,154,197,controlled_count,pilot_zone,3.8189538047984124,1.467145287780158,0.00924166165526654,smart_factory_projects ~ pilot_zone + C(year) + log_gdp + log_population + secondary_industry_share + log_fdi + log_fixed_asset_investment + telecom_or_internet_proxy,association weakens after dropping five mega-hubs,1.109534552021608,0.8454935622317596
drop_direct_admin_municipalities,controlled,155,197,controlled_count,pilot_zone,2.9689782680014187,1.1035899077693572,0.007138968422921327,smart_factory_projects ~ pilot_zone + C(year) + log_gdp + log_population + secondary_industry_share + log_fdi + log_fixed_asset_investment + telecom_or_internet_proxy,association weakens substantially when direct-admin municipalities excluded,0.862588064932807,0.8454935622317596
drop_top_5_smart_factory_cities,controlled,154,189,controlled_count,pilot_zone,2.903467581226546,1.1010936175814643,0.008366887637275165,smart_factory_projects ~ pilot_zone + C(year) + log_gdp + log_population + secondary_industry_share + log_fdi + log_fixed_asset_investment + telecom_or_internet_proxy,association weakens when top adoption cities excluded,0.843555006608808,0.8111587982832618
drop_top_10_gdp_cities,controlled,149,175,controlled_count,pilot_zone,3.669880146752711,1.5430776276760638,0.017393322612406108,smart_factory_projects ~ pilot_zone + C(year) + log_gdp + log_population + secondary_industry_share + log_fdi + log_fixed_asset_investment + telecom_or_internet_proxy,association under top-GDP-city exclusion (requires GDP controls),1.0662236394386548,0.7510729613733905
