city,province,pilot_zone,post_pilot,resolved_smart_factory_projects,smart_factory_rank,direct_admin_municipality,mega_hub,top_5_smart_factory_city,top_10_gdp_city,diffusion_type
Aksu,Xinjiang,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Anqing,Anhui,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Anshan,Liaoning,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Baise,Guangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Baotou,Inner Mongolia,0,0,4,13.0,0,0,0,0,nonpilot_low_adoption
Beihai,Guangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Beijing,Beijing,1,1,19,3.0,1,1,1,0,frontier_municipality_hub
Bengbu,Anhui,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Benxi,Liaoning,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Binzhou,Shandong,0,0,6,11.0,0,0,0,0,nonpilot_low_adoption
Cangzhou,Hebei,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Changchun,Jilin,0,0,4,13.0,0,0,0,0,nonpilot_low_adoption
Changde,Hunan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Changji,Xinjiang,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Changsha,Hunan,1,1,11,7.0,0,0,0,0,pilot_non_hub
Changshu,Jiangsu,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Changyuan,Henan,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Changzhou,Jiangsu,0,0,7,10.0,0,0,0,0,nonpilot_low_adoption
Chengde,Hebei,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Chengdu,Sichuan,1,1,11,7.0,0,0,0,0,pilot_non_hub
Chongqing,Chongqing,1,1,22,2.0,1,0,1,0,frontier_municipality_hub
Chuzhou,Anhui,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Dalian,Liaoning,0,0,5,12.0,0,0,0,0,nonpilot_low_adoption
Danyang,Jiangsu,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Daye,Hubei,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Dazhou,Sichuan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Deqing,Zhejiang,1,1,0,,0,0,0,0,pilot_non_hub
Deyang,Sichuan,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Dezhou,Shandong,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Dongguan,Guangdong,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Fangchenggang,Guangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Foshan,Guangdong,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Fuzhou,Fujian,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Ganzhou,Jiangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Golmud,Qinghai,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Guangzhou,Guangdong,1,1,8,9.0,0,1,0,0,pilot_industrial_hub
Guilin,Guangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Guixi,Jiangxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Guiyang,Guizhou,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Haikou,Hainan,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Hanchuan,Hubei,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Handan,Hebei,0,0,2,15.0,0,0,0,0,nonpilot_low_adoption
Hangzhou,Zhejiang,1,1,13,5.0,0,1,0,0,pilot_industrial_hub
Hanzhong,Shaanxi,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
Harbin,Heilongjiang,0,0,3,14.0,0,0,0,0,nonpilot_low_adoption
Hefei,Anhui,1,1,9,8.0,0,0,0,0,pilot_non_hub
Hengshui,Hebei,0,0,1,16.0,0,0,0,0,nonpilot_low_adoption
