term,coef,std_err,p_value,n_obs,r_squared,model,formula,note,exposure_source
Intercept,0.8618898096778831,0.1566074553625014,3.7231536849893586e-08,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Anqing],-0.19114501686284346,0.12233216147318321,0.11816829363917232,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Anshan],-0.46153809793393386,0.14685610878390706,0.0016734512092686,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Baise],-0.15343058125428433,0.14105449318771093,0.2767100077155089,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Baotou],-0.0004991998978903789,0.11795561148135052,0.9966232831376075,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Beihai],-0.1687140701226711,0.1380611941446002,0.22169861311454442,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Beijing],0.11224938334371241,0.021889194831577793,2.927233453024546e-07,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Bengbu],-0.195255118407047,0.12817499663201343,0.1276716766344254,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Benxi],-0.2334303905992658,0.12230624132588239,0.056317197017804986,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Binzhou],-0.12692127841966577,0.08334373962469327,0.1277924406689306,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Cangzhou],-0.46153809793392964,0.14685610878390634,0.0016734512092686756,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
