sector_group,smart_factory_projects,share_of_smart_factory_projects,export_value_2024_x,share_of_china_exports_2024,export_value_2017,export_value_2024_y,log_export_growth_2017_2024,unit_value_index_2017,unit_value_index_2024,log_unit_value_growth_2017_2024,growth_method,mapping_confidence,note
ai_servers_and_computing_equipment,48,0.09430255402750491,1249440293646.0,0.4526039306152003,880568854777.0,1249440293646.0,0.34988284042443496,1.0,1.3049929495324162,0.26619763810291,log_level_2017_2024,high,Descriptive strategic relevance; not a causal export effect.
autos_and_nev,37,0.07269155206286837,210354483076.0,0.07619993235923365,67955963779.0,210354483076.0,1.129934218356734,1.0,3.095452869450797,1.1299342183567331,log_level_2017_2024,high,Descriptive strategic relevance; not a causal export effect.
batteries,14,0.0275049115913556,76182698598.0,0.027596827960229997,11454642721.0,76182698598.0,1.8947392587596603,1.0,6.6508140370308455,1.894739258759662,log_level_2017_2024,high,Descriptive strategic relevance; not a causal export effect.
industrial_machinery,247,0.48526522593320237,638001845383.0,0.23111319878876194,453432619434.0,638001845383.0,0.3414944962510553,1.0,1.9782093352698489,0.6821920593852867,log_level_2017_2024,high,Descriptive strategic relevance; not a causal export effect.
other,36,0.07072691552062868,,,,,,,,,,,Descriptive strategic relevance; not a causal export effect.
petrochemicals,53,0.10412573673870335,136567952210.0,0.0494711050065011,81701653097.0,136567952210.0,0.5137480737361599,1.0,1.67154454081682,0.5137480737361593,log_level_2017_2024,medium,Descriptive strategic relevance; not a causal export effect.
pharmaceuticals,6,0.011787819253438114,17020155089.0,0.006165471957433351,7106148063.0,17020155089.0,0.8734379015486233,1.0,2.3951309398716085,0.8734379015486217,log_level_2017_2024,high,Descriptive strategic relevance; not a causal export effect.
semiconductors_and_electronics,4,0.007858546168958742,224646054307.0,0.0813769875148203,100043063716.0,224646054307.0,0.8089253411767032,1.0,2.245493550104785,0.8089253411767052,log_level_2017_2024,high,Descriptive strategic relevance; not a causal export effect.
shipbuilding,19,0.03732809430255403,33834220438.0,0.01225628886583569,19976789658.0,33834220438.0,0.5269016467797911,1.0,1.693676562512665,0.5269016467797901,log_level_2017_2024,high,Descriptive strategic relevance; not a causal export effect.
steel_and_metals,45,0.08840864440078586,174512268413.0,0.06321625693198367,109200962890.0,174512268413.0,0.468805164316894,1.0,1.5980836047095042,0.46880516431689306,log_level_2017_2024,high,Descriptive strategic relevance; not a causal export effect.
